contract,path,complexity_score
Permit2Hub,contracts/utils/Permit2Hub.sol,0.18031
VestingWalletCliff,contracts/VestingWalletCliff.sol,0.1836
Reservoir,contracts/compound/contracts/Reservoir.sol,0.18392
BrokerbotQuoter,contracts/brokerbot/BrokerbotQuoter.sol,0.18396
SimplePriceOracle,contracts/compound/contracts/SimplePriceOracle.sol,0.18407
RelaunchedCrowdsale,contracts/tokenmarketnet/contracts/RelaunchedCrowdsale.sol,0.18463
Ingress,contracts/permissioning/contracts/Ingress.sol,0.18471
KYCPayloadDeserializer,contracts/tokenmarketnet/contracts/KYCPayloadDeserializer.sol,0.18576
IssuerWithId,contracts/tokenmarketnet/contracts/IssuerWithId.sol,0.18683
EIP20NonStandardInterface,contracts/compound/contracts/EIP20NonStandardInterface.sol,0.18716
Ownable,contracts/Ownable.sol,0.19348
MultichainSharesChild,contracts/multichain/MultichainSharesChild.sol,0.19368
EIP20Interface,contracts/compound/contracts/EIP20Interface.sol,0.19532
IDraggable,contracts/draggable/IDraggable.sol,0.19692
UpgradeableToken,contracts/tokenmarketnet/contracts/UpgradeableToken.sol,0.19756
NodeRulesList,contracts/permissioning/contracts/NodeRulesList.sol,0.19956
WhitePaperInterestRateModel,contracts/compound/contracts/WhitePaperInterestRateModel.sol,0.20008
MintableToken,contracts/tokenmarketnet/contracts/MintableToken.sol,0.20184
Address,contracts/utils/Address.sol,0.20232
OpenAddressLottery,contracts/OpenAddressLottery.sol,0.20544
CentrallyIssuedToken,contracts/tokenmarketnet/contracts/CentrallyIssuedToken.sol,0.20584
AccountRulesList,contracts/permissioning/contracts/AccountRulesList.sol,0.20728
JumpRateModel,contracts/compound/contracts/JumpRateModel.sol,0.20808
Admin,contracts/permissioning/contracts/Admin.sol,0.20988
BasicKYC,contracts/tokenmarketnet/contracts/security-token/BasicKYC.sol,0.2134
SignedMath,contracts/SignedMath.sol,0.21472
ICompoundTimelock,contracts/ICompoundTimelock.sol,0.21756
IERC20,contracts/ERC20/IERC20.sol,0.21996
ERC865,contracts/tokenmarketnet/contracts/security-token/ERC865.sol,0.22023
RLPEncode,contracts/multisig/RLPEncode.sol,0.22036
Timelock,contracts/compound/contracts/Timelock.sol,0.22084
AdminList,contracts/permissioning/contracts/AdminList.sol,0.22144
UniswapV2ERC20,contracts/uniswap/UniswapV2ERC20.sol,0.22247
PaymentForwarder,contracts/tokenmarketnet/contracts/PaymentForwarder.sol,0.22253
Nonce,contracts/multisig/Nonce.sol,0.22356
KYCCrowdsale,contracts/tokenmarketnet/contracts/KYCCrowdsale.sol,0.22464
ReleasableToken,contracts/tokenmarketnet/contracts/ReleasableToken.sol,0.2266
CrowdsaleToken,contracts/tokenmarketnet/contracts/CrowdsaleToken.sol,0.2348
AccountStorage,contracts/permissioning/contracts/AccountStorage.sol,0.2354
BaseJumpRateModelV2,contracts/compound/contracts/BaseJumpRateModelV2.sol,0.23612
DraggableShares,contracts/shares/DraggableShares.sol,0.23672
CCIPAdministrable,contracts/multichain/CCIPAdministrable.sol,0.23884
ComptrollerInterface,contracts/compound/contracts/ComptrollerInterface.sol,0.24264
Government,contracts/Government.sol,0.24268
TransparentUpgradeableProxy,contracts/TransparentUpgradeableProxy.sol,0.24572
ERC2771Context,contracts/metatx/ERC2771Context.sol,0.25068
ERC20,contracts/ERC20.sol,0.25096
AccountRules,contracts/permissioning/contracts/AccountRules.sol,0.2512
NodeRules,contracts/permissioning/contracts/NodeRules.sol,0.256
PaymentSplitter,contracts/tokenmarketnet/contracts/PaymentSplitter.sol,0.25624
AdvancedTransferAgent,contracts/tokenmarketnet/contracts/security-token/AdvancedTransferAgent.sol,0.26069
NodeStorage,contracts/permissioning/contracts/NodeStorage.sol,0.26264
DAIInterestRateModelV3,contracts/compound/contracts/DAIInterestRateModelV3.sol,0.2632
MultichainWallet,contracts/multisig/MultichainWallet.sol,0.26364
CEther,contracts/compound/contracts/CEther.sol,0.26604
Unitroller,contracts/compound/contracts/Unitroller.sol,0.2696
PresaleFundCollector,contracts/tokenmarketnet/contracts/PresaleFundCollector.sol,0.27223
SafeMath,contracts/compound/contracts/SafeMath.sol,0.27436
IUniswapV3,contracts/brokerbot/IUniswapV3.sol,0.27772
TokenFactory,contracts/utils/factory/TokenFactory.sol,0.2782
ERC20Allowlistable,contracts/ERC20/ERC20Allowlistable.sol,0.28116
KYCPresale,contracts/tokenmarketnet/contracts/KYCPresale.sol,0.28192
ERC20Recoverable,contracts/recovery/ERC20Recoverable.sol,0.28472
CDaiDelegate,contracts/compound/contracts/CDaiDelegate.sol,0.28816
MilestonePricing,contracts/tokenmarketnet/contracts/MilestonePricing.sol,0.29296
TokenTranchePricing,contracts/tokenmarketnet/contracts/TokenTranchePricing.sol,0.29536
Account,contracts/Account.sol,0.29848
Crowdsale,contracts/tokenmarketnet/contracts/Crowdsale.sol,0.30588
EthTranchePricing,contracts/tokenmarketnet/contracts/EthTranchePricing.sol,0.30612
VestingWallet,contracts/VestingWallet.sol,0.30847
AccessControl,contracts/AccessControl.sol,0.31977
CErc20,contracts/compound/contracts/CErc20.sol,0.32032
UniswapV2Pair,contracts/uniswap/UniswapV2Pair.sol,0.33476
TradeReactor,contracts/market/TradeReactor.sol,0.33611
Rubixi,contracts/Rubixi.sol,0.337
ComptrollerStorage,contracts/compound/contracts/ComptrollerStorage.sol,0.33808
ExponentialNoError,contracts/compound/contracts/ExponentialNoError.sol,0.34336
BrokerbotRouter,contracts/brokerbot/BrokerbotRouter.sol,0.34536
UniswapV2Router01,contracts/uniswapv2_periphery/UniswapV2Router01.sol,0.34608
RecoveryHub,contracts/recovery/RecoveryHub.sol,0.34673
TokenVault,contracts/tokenmarketnet/contracts/TokenVault.sol,0.36375
SecurityToken,contracts/tokenmarketnet/contracts/security-token/SecurityToken.sol,0.36403
GovernorBravoInterfaces,contracts/compound/contracts/Governance/GovernorBravoInterfaces.sol,0.36736
Shares,contracts/shares/Shares.sol,0.36888
MultiSigWallet,contracts/multisig/MultiSigWallet.sol,0.37184
ERC20Flaggable,contracts/ERC20/ERC20Flaggable.sol,0.37512
Comp,contracts/compound/contracts/Governance/Comp.sol,0.38896
SafeERC20,contracts/SafeERC20.sol,0.40148
Offer,contracts/draggable/Offer.sol,0.40728
UniswapV2Router02,contracts/uniswapv2_periphery/UniswapV2Router02.sol,0.40936
BecToken,contracts/BecToken.sol,0.41655
PreICOProxyBuyer,contracts/tokenmarketnet/contracts/PreICOProxyBuyer.sol,0.41973
ERC2771Forwarder,contracts/metatx/ERC2771Forwarder.sol,0.42444
ERC20Draggable,contracts/draggable/ERC20Draggable.sol,0.43804
SecondaryMarket,contracts/market/SecondaryMarket.sol,0.44376
CheckpointToken,contracts/tokenmarketnet/contracts/security-token/CheckpointToken.sol,0.44824
PaymentHub,contracts/brokerbot/PaymentHub.sol,0.46704
CTokenInterfaces,contracts/compound/contracts/CTokenInterfaces.sol,0.47939
Brokerbot,contracts/brokerbot/Brokerbot.sol,0.48296
CompoundLens,contracts/compound/contracts/Lens/CompoundLens.sol,0.48808
CErc20Delegator,contracts/compound/contracts/CErc20Delegator.sol,0.49124
CrowdsaleBase,contracts/tokenmarketnet/contracts/CrowdsaleBase.sol,0.4952
GnosisWallet,contracts/tokenmarketnet/contracts/GnosisWallet.sol,0.49748
GovernorBravoDelegateG1,contracts/compound/contracts/Governance/GovernorBravoDelegateG1.sol,0.50296
GovernorBravoDelegateG2,contracts/compound/contracts/Governance/GovernorBravoDelegateG2.sol,0.54416
GovernorBravoDelegate,contracts/compound/contracts/Governance/GovernorBravoDelegate.sol,0.54616
GovernorAlpha,contracts/compound/contracts/Governance/GovernorAlpha.sol,0.55924
CToken,contracts/compound/contracts/CToken.sol,0.705
SmartBillions,contracts/SmartBillions.sol,0.70751
Governor,contracts/Governor.sol,0.72919
Comptroller,contracts/compound/contracts/Comptroller.sol,0.758
ComptrollerG7,contracts/compound/contracts/ComptrollerG7.sol,0.758
