contract,local_path,source_repository,source_link
SecurityToken,contracts/tokenmarketnet/contracts/security-token/SecurityToken.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
GovernorBravoInterfaces,contracts/compound/contracts/Governance/GovernorBravoInterfaces.sol,Compound Protocol,https://github.com/compound-finance/compound-protocol
Shares,contracts/shares/Shares.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
MultiSigWallet,contracts/multisig/MultiSigWallet.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
ERC20Flaggable,contracts/ERC20/ERC20Flaggable.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
Comp,contracts/compound/contracts/Governance/Comp.sol,Compound Protocol,https://github.com/compound-finance/compound-protocol
SafeERC20,contracts/SafeERC20.sol,OpenZeppelin-style Public Implementations,https://github.com/OpenZeppelin/openzeppelin-contracts
Offer,contracts/draggable/Offer.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
UniswapV2Router02,contracts/uniswapv2_periphery/UniswapV2Router02.sol,Uniswap V2 Periphery,https://github.com/Uniswap/v2-periphery
BecToken,contracts/BecToken.sol,Public Smart-Contract Benchmark Collections,https://github.com/crytic/not-so-smart-contracts
PreICOProxyBuyer,contracts/tokenmarketnet/contracts/PreICOProxyBuyer.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
ERC2771Forwarder,contracts/metatx/ERC2771Forwarder.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
ERC20Draggable,contracts/draggable/ERC20Draggable.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
SecondaryMarket,contracts/market/SecondaryMarket.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
CheckpointToken,contracts/tokenmarketnet/contracts/security-token/CheckpointToken.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
PaymentHub,contracts/brokerbot/PaymentHub.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
CTokenInterfaces,contracts/compound/contracts/CTokenInterfaces.sol,Compound Protocol,https://github.com/compound-finance/compound-protocol
Brokerbot,contracts/brokerbot/Brokerbot.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
CompoundLens,contracts/compound/contracts/Lens/CompoundLens.sol,Compound Protocol,https://github.com/compound-finance/compound-protocol
CErc20Delegator,contracts/compound/contracts/CErc20Delegator.sol,Compound Protocol,https://github.com/compound-finance/compound-protocol
CrowdsaleBase,contracts/tokenmarketnet/contracts/CrowdsaleBase.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
GnosisWallet,contracts/tokenmarketnet/contracts/GnosisWallet.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
GovernorBravoDelegateG1,contracts/compound/contracts/Governance/GovernorBravoDelegateG1.sol,Compound Protocol,https://github.com/compound-finance/compound-protocol
GovernorBravoDelegateG2,contracts/compound/contracts/Governance/GovernorBravoDelegateG2.sol,Compound Protocol,https://github.com/compound-finance/compound-protocol
GovernorBravoDelegate,contracts/compound/contracts/Governance/GovernorBravoDelegate.sol,Compound Protocol,https://github.com/compound-finance/compound-protocol
GovernorAlpha,contracts/compound/contracts/Governance/GovernorAlpha.sol,Compound Protocol,https://github.com/compound-finance/compound-protocol
CToken,contracts/compound/contracts/CToken.sol,Compound Protocol,https://github.com/compound-finance/compound-protocol
SmartBillions,contracts/SmartBillions.sol,Public Smart-Contract Benchmark Collections,https://github.com/crytic/not-so-smart-contracts
Governor,contracts/Governor.sol,CodeforDAO Contracts,https://github.com/CodeForDAO/contracts
Comptroller,contracts/compound/contracts/Comptroller.sol,Compound Protocol,https://github.com/compound-finance/compound-protocol
ComptrollerG7,contracts/compound/contracts/ComptrollerG7.sol,Compound Protocol,https://github.com/compound-finance/compound-protocol
